tag_id,subject_id,scoring,allowed_values,consuming_rules,rule_status,statement_id,txn_date,txn_amount,txn_direction,txn_description,golden_label,labeler_note
txn.is_money_in,txncb49a70b58c386c4,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doce9fa604faeb2faaa,2026-03-27,4821.23,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txna7f5fd3faa8f8131,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-05,12301.29,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn01e610566a791254,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-05,319.0,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnbceac456702444eb,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-05,1.95,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txncd5276a9c6d22765,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-07,2231.39,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnda0407ec200f24e8,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-18,1800.72,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn5724b33ae708c539,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc78c0460250e6cefb,2026-05-18,1118.57,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txne29320d7f3694bbe,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docd8f0515f0f1ef311,2026-03-27,2413.10,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn7e835bb9fbda9825,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docd8f0515f0f1ef311,2026-04-01,522.18,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txnb4e36dd32e1ef7de,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docd8f0515f0f1ef311,2026-04-10,2413.09,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn14897e4cfac1627b,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docd8f0515f0f1ef311,2026-04-23,1.93,credit,INTEREST EARNED,,
txn.is_money_in,txn6f67101266c60695,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-04-24,2413.08,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txn38597eb310785a77,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-05-08,2413.1,credit,PAYROLL DIRECT DEPOSIT,,
txn.is_money_in,txnff0d2afe6fcab8cf,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-05-21,0.53,credit,INTEREST EARNED,,
txn.is_money_in,txn54c6369a297d4a87,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-05-01,60000.0,debit,ONLINE TRANSFER TO OWN ACCOUNT,,
txn.is_money_in,txn5b6eb959a6037854,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-05-01,344.79,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn6fc36d4527c2103f,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,docb6645cb3380bb3e5,2026-05-06,2000.0,,ONLINE TRANSFER TO OWN ACCOUNT,,
txn.is_money_in,txn8d37e2631ef04438,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-06-08,2000.0,credit,ONLINE TRANSFER FROM OWN ACCOUNT,,
txn.is_money_in,txn25eea72457b749d2,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-06-08,20000.0,debit,ONLINE TRANSFER TO OWN ACCOUNT,,
txn.is_money_in,txnee8876bc3bdb0904,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-06-08,20000.0,credit,ONLINE TRANSFER FROM OWN ACCOUNT,,
txn.is_money_in,txnff09b83d7112a8e5,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-06-04,11941.18,debit,CARD PURCHASE / PAYMENT,,
txn.is_money_in,txn06dd0da3d0417878,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-06-04,12000.0,credit,ONLINE TRANSFER FROM OWN ACCOUNT,,
txn.is_money_in,txn9e96dcc42e20e10f,enum,in | out | unknown,"AS-1, AS-7, AS-8, AS-12",LIVE,doc30312688b1d919b3,2026-05-27,1.99,debit,CARD PURCHASE / PAYMENT,,
