playbook_id,category,name,layer,source,status,scope,required_documents
TI-1,Title,Title commitment parties,DET-FUZZY,Both,BLOCKED,IN,"Title commitment, Purchase agreement, Application (MISMO)"
TI-2,Title,Legal description match,DET+AI,ChatGPT,BLOCKED,IN,"Title commitment, Appraisal, Purchase agreement"
TI-3,Title,Existing liens / unreleased mortgage,DET+AI,Both,BLOCKED,IN,"Title commitment, Payoff statements"
TI-4,Title,Judgments / tax liens on title,DET,ChatGPT,BLOCKED,IN,Title commitment
TI-5,Title,Vesting,DET+AI,ChatGPT,BLOCKED,IN,"Title commitment, Application"
TI-6,Title,Chain of title / rapid transfer,AI,ChatGPT,BLOCKED,IN,Title commitment (chain of title)
IH-1,Insurance/Flood,Insurance adequacy,DET,Both,NOW,IN,Homeowners insurance binder/policy
IH-2,Insurance/Flood,Mortgagee clause,DET+AI,Both,NOW,IN,Homeowners insurance binder/policy
IH-3,Insurance/Flood,Insurance effective date,DET,Both,EXTRACT,IN,Homeowners insurance binder
IH-4,Insurance/Flood,Premium matches DTI,DET,Both,NOW,IN,"Insurance binder, (DTI inputs)"
IH-5,Insurance/Flood,Flood zone determination,DET,Both,BLOCKED,IN,Flood certification/determination
IH-6,Insurance/Flood,Flood insurance required/present,DET,Both,BLOCKED,IN,"Flood determination, Flood insurance policy"
IH-7,Insurance/Flood,Condo master policy,DET,Both,BLOCKED,?,"Condo master insurance policy, Condo questionnaire"
IH-8,Insurance/Flood,Wind/hail coverage,DET+AI,ChatGPT,BLOCKED,?,"Insurance policy, (state requirements)"
CO-1,Condo/HOA,Condo questionnaire present,DET,Both,BLOCKED,?,Condo questionnaire
CO-2,Condo/HOA,HOA dues in DTI,DET,Both,EXTRACT,?,"Condo docs / HOA statement, (DTI inputs)"
CO-3,Condo/HOA,Master insurance / fidelity,DET+AI,ChatGPT,BLOCKED,?,"Condo questionnaire, Master policy"
CO-4,Condo/HOA,HOA budget / reserves,DET+AI,ChatGPT,BLOCKED,?,"HOA budget, Condo questionnaire"
CO-5,Condo/HOA,Litigation / delinquency / concentration,AI,Both,BLOCKED,?,Condo questionnaire
PC-1,Contract,Contract parties match,DET-FUZZY,Both,NOW,IN,"Purchase agreement, Application (MISMO), Title"
PC-2,Contract,Purchase price matches loan terms,DET,Both,NOW,IN,"Purchase agreement, Application (MISMO)"
PC-3,Contract,Property address matches,DET-FUZZY,Both,NOW,IN,"Purchase agreement, Application (MISMO), Appraisal, Title"
PC-4,Contract,Seller credit / IPC limit,DET,Both,EXTRACT,IN,"Purchase agreement (seller credit), (program IPC limit)"
PC-5,Contract,EMD amount & source,DET+AI,Both,NOW,IN,"Purchase agreement, Bank statement, Cancelled check/wire"
PC-6,Contract,Addenda signed,HYBRID,ChatGPT,EXTRACT,IN,Purchase agreement + all addenda
PC-7,Contract,Closing date realistic/current,DET,Both,NOW,IN,Purchase agreement (closing date)
PC-8,Contract,Personal property not inflating value,AI,ChatGPT,EXTRACT,IN,Purchase agreement
PC-9,Contract,Financing contingency dates,DET,ChatGPT,EXTRACT,?,Purchase agreement (contingency terms)
MI-1,MI/Fees,PMI required (Conv >80% LTV),DET,Both,NOW,IN,"(LTV from the calculator), MI certificate"
MI-2,MI/Fees,MI factor correct,DET,Both,EXTRACT,IN,"MI certificate, (DTI inputs)"
MI-3,MI/Fees,MI certificate present,DET,Both,EXTRACT,IN,MI certificate
MI-4,MI/Fees,FHA MIP (upfront + monthly),DET,Both,NOW,IN,"(FHA program), (loan/payment inputs)"
MI-5,MI/Fees,Borrower-paid vs lender-paid MI,DET,ChatGPT,EXTRACT,IN,"MI certificate, Rate/pricing sheet"
PE-1,Program,Conventional eligibility,DET,Both,EXISTS?,IN,"Application, Credit report, Appraisal, (calculators)"
PE-2,Program,FHA case number,DET,ChatGPT,EXTRACT,IN,FHA case number assignment
PE-3,Program,FHA minimum required investment,DET,ChatGPT,NOW,IN,"(Loan amount + price), Asset docs"
PE-4,Program,FHA property condition,AI,ChatGPT,BLOCKED,IN,FHA appraisal report
PE-5,Program,VA / USDA / Jumbo / Non-QM eligibility,DET,ChatGPT,—,OUT,(program-specific)
AU-1,AUS,AUS data matches documents,DET,Both,BLOCKED,IN,"AUS findings (DU/LP), Income/asset/debt docs"
AU-2,AUS,AUS required conditions collected,DET+AI,Both,BLOCKED,IN,"AUS findings (DU/LP), the collected documents"
AU-3,AUS,AUS recommendation status,DET,Both,BLOCKED,IN,AUS findings (DU/LP)
AU-4,AUS,AUS rerun needed,DET,Both,NOW,IN,(Change tracking on loan data)
DC-1,Compliance,Loan Estimate timely,DET,ChatGPT,SCOPE?,?,"Loan Estimate, Application date"
DC-2,Compliance,Intent to proceed,DET,ChatGPT,SCOPE?,?,Intent-to-proceed record
DC-3,Compliance,Closing Disclosure 3-day timing,DET,ChatGPT,SCOPE?,?,"Closing Disclosure, Closing date"
DC-4,Compliance,Fee tolerance (0% / 10%),DET,ChatGPT,SCOPE?,?,"Loan Estimate, Closing Disclosure"
DC-5,Compliance,APR change threshold,DET,ChatGPT,SCOPE?,?,Loan Estimate/CD (APR)
DC-6,Compliance,Appraisal delivery (ECOA),DET,ChatGPT,SCOPE?,?,Appraisal delivery record
DC-7,Compliance,Changed-circumstance validity,DET+AI,ChatGPT,SCOPE?,?,"Loan Estimate (original + revised), Changed-circumstance documentation"
RE-1,REO,REO reconciliation,DET-FUZZY,Both,BLOCKED,IN,"Application (REO), Credit report, Mortgage statements, Title"
RE-2,REO,Retained-property tax & insurance,DET,ChatGPT,EXTRACT,IN,"Mortgage statements, Tax/insurance docs for retained REO"
CL-1,Closing,Rate lock expiration,DET,Both,EXTRACT,IN,"Rate lock confirmation, Closing date"
CL-2,Closing,Clear-to-close conditions,DET+AI,ChatGPT,BLOCKED,OUT,Underwriting conditions list
CL-3,Closing,Final CD accuracy,DET,ChatGPT,BLOCKED,OUT,Final Closing Disclosure
CL-4,Closing,Final VOE,DET,ChatGPT,BLOCKED,OUT,Final VOE
CL-5,Closing,Final credit refresh,DET,ChatGPT,BLOCKED,OUT,Final credit refresh
CL-6,Closing,Signed docs / notarization / recording,DET+AI,ChatGPT,BLOCKED,OUT,"Note, Deed of trust/mortgage, CD, notary records"
CL-7,Closing,Right of rescission (refi),DET,ChatGPT,EXTRACT,OUT,Closing docs (rescission notice)
FR-1,Fraud/QC,Altered-document appearance,AI,Both,NOW,IN,"Pay stub, Bank statement, W-2"
FR-2,Fraud/QC,Non-arm's-length / flip,AI,ChatGPT,BLOCKED,IN,"Purchase agreement, Title (chain), Appraisal"
FR-3,Fraud/QC,Unusual seller credits / side agreements,DET+AI,ChatGPT,EXTRACT,IN,Purchase agreement + addenda
FR-4,Fraud/QC,Garnishment on paystub,AI,Claude,NOW,IN,Pay stub (deduction lines)
FR-5,Fraud/QC,Recurring undisclosed debit,AI,Claude,NOW,IN,Bank statements
FR-6,Fraud/QC,Novel cross-source discrepancy,AI,Claude,EXISTS,IN,All documents in the file
LO-1,LOE,LOE required-and-present,DET+AI,Both,EXTRACT,IN,"The triggering finding/condition, Letters of explanation"
LO-2,LOE,LOE completeness,HYBRID,ChatGPT,EXTRACT,IN,Letter of explanation
