tag_id,entity,value_type,allowed_values,description,produced_by,decision,used_by_rules,type_raw
id.id_expiration,doc,date,,Government-ID expiration date.,parsed,ID-5,Deterministic-once-tagged,date
id.citizenship,borrower,enum,"[""us_citizen"", ""permanent_resident"", ""non_permanent"", ""unknown""]",Citizenship/residency status.,parsed,ID-8,Deterministic-once-tagged,enum: us_citizen | permanent_resident | non_permanent | unknown
id.app_required_fields_present,loan,enum,"[""complete"", ""incomplete + list""]",Are all required 1003 fields present.,derived,ID-6,Deterministic-once-tagged,enum: complete | incomplete + list
id.poa_present_and_acceptable,doc,enum,"[""yes"", ""no"", ""n/a"", ""unknown""]",POA present and meets investor rules.,AI,ID-9,AI-at-rule-time,enum: yes | no | n/a | unknown
housing.pi,loan,number,,New P&I (computed from note terms).,derived,DT-1,Deterministic-once-tagged,number
housing.taxes_monthly,loan,number,,Monthly property taxes.,parsed/AI,"DT-1, DT-4",Deterministic-once-tagged,number | unknown
housing.insurance_monthly,loan,number,,Monthly homeowners insurance (unknown if no binder — absent≠0).,AI,"DT-1, DT-5, IH-1",Deterministic-once-tagged,number | unknown
housing.hoa_monthly,loan,number,,Monthly HOA dues (unknown if HOA status undetermined).,AI,"DT-2, CO-2",Deterministic-once-tagged,number | unknown
housing.mi_monthly,loan,number,,"Monthly MI (0 if not required, unknown if undetermined).",derived,"DT-3, MI-1",Deterministic-once-tagged,number | unknown
dti.qualifying_income_monthly,loan,number,,Total qualifying monthly income (sum of income.qualifying_monthly).,derived,"DT-1, AS-1, AS-3",Deterministic-once-tagged,number | unknown
debt.counts_in_dti,liability,enum,"[""yes"", ""no"", ""unknown""]",Does this debt count in DTI (AI decides omit/include per rules; code sums).,AI,DT-1,Hybrid,enum: yes | no | unknown
property.is_retained_reo,property,enum,"[""yes"", ""no"", ""unknown""]",Is this an owned property being RETAINED (not the subject) — REO.,AI,"DT-6, RE-1, RE-2",Deterministic-once-tagged,enum: yes | no | unknown
property.retained_pitia,property,number,,Full PITIA of a retained property (or net rental).,AI,"DT-6, RE-1",Deterministic-once-tagged,number | unknown
dti.atr_factors_documented,loan,enum,"[""complete"", ""incomplete""]",Are all ATR factors documented.,AI,DT-7,AI-at-rule-time,enum: complete | incomplete
loan.amount,loan,number,,Loan amount.,parsed,"PR-1, PE-1, MI-1",Deterministic-once-tagged,number
property.purchase_price,property,number,,Contract sales price.,parsed,"PR-1, PR-2, PC-2",Deterministic-once-tagged,number
property.appraised_value,property,number,,Appraised value (unknown if no appraisal — absent≠price).,AI,"PR-1, PR-2, MI-1",Deterministic-once-tagged,number | unknown
property.value_basis,property,number,,Lesser of price/appraised for LTV.,derived,PR-1,Deterministic-once-tagged,number
property.type,property,enum,"[""sfr"", ""condo"", ""pud"", ""2-4unit"", ""manufactured"", ""coop"", ""unknown""]","Property type (drives eligibility, condo rules).",AI,"PR-3, CO-1..5",Deterministic-once-tagged,enum: sfr | condo | pud | 2-4unit | manufactured | coop | unknown
property.is_warrantable_condo,property,enum,"[""yes"", ""no"", ""n/a"", ""unknown""]",For condos: warrantable vs non-warrantable.,AI,"CO-1, CO-3, CO-5",AI-at-rule-time,enum: yes | no | n/a | unknown
property.appraisal_date,doc,date,,Appraisal effective date.,parsed,PR-6,Deterministic-once-tagged,date | null
property.appraisal_condition,doc,enum,"[""c1..c6"", ""unknown""]",Appraisal condition rating (C5/C6 = issue).,AI,PR-5,AI-at-rule-time,enum: c1..c6 | unknown
property.appraisal_complete,doc,enum,"[""yes"", ""no + missing[]""]",All required appraisal sections present.,AI,PR-4,AI-at-rule-time,enum: yes | no + missing[]
property.in_disaster_area,property,enum,"[""yes"", ""no"", ""unknown""]",Property in a declared disaster area (date/location cross-ref).,AI,PR-8,AI-at-rule-time,enum: yes | no | unknown
occupancy.stated,loan,enum,"[""primary"", ""second"", ""investment""]",Stated occupancy.,parsed,OC-1,Deterministic-once-tagged,enum: primary | second | investment
occupancy.consistent_with_signals,loan,enum,"[""yes"", ""no"", ""unknown""]",Do address/other signals match stated occupancy.,AI,"OC-1, OC-2",AI-at-rule-time,enum: yes | no | unknown
occupancy.reasonable,loan,enum,"[""yes"", ""no"", ""unknown""]","Is occupancy plausible (distance, existing primary, patterns).",AI,OC-2,AI-at-rule-time,enum: yes | no | unknown
title.parties_match,doc,enum,"[""yes"", ""no"", ""unknown""]",Title parties match borrowers/seller (fuzzy).,AI,"TI-1, PC-1",AI-at-rule-time,enum: yes | no | unknown
title.legal_desc_matches,doc,enum,"[""yes"", ""no"", ""unknown""]",Legal description consistent across docs.,AI,TI-2,AI-at-rule-time,enum: yes | no | unknown
title.open_liens,doc,list,,Open liens/unreleased mortgages on title.,AI,"TI-3, TI-4",AI-at-rule-time,list
title.vesting,doc,string,,Vesting; consistency w/ borrower/marital.,AI,TI-5,AI-at-rule-time,string | unknown
title.rapid_transfer,doc,enum,"[""yes"", ""no"", ""unknown""]",Recent transfer / rapid price change (flip signal).,AI,"TI-6, FR-2",AI-at-rule-time,enum: yes | no | unknown
ins.dwelling_coverage,doc,number,,Dwelling coverage amount.,parsed,IH-1,Deterministic-once-tagged,number | unknown
ins.effective_date,doc,date,,Policy effective date vs closing.,parsed,IH-3,Deterministic-once-tagged,date | unknown
ins.mortgagee_clause_correct,doc,enum,"[""yes"", ""no"", ""unknown""]",Mortgagee clause names correct lender.,derived,IH-2,Deterministic,enum: yes | no | unknown
ins.premium_annual,doc,number,,Annual premium (for DTI).,parsed,"DT-5, IH-4",Deterministic-once-tagged,number | unknown
flood.zone,doc,string,,Flood zone from determination.,parsed,IH-5,Deterministic-once-tagged,string | unknown
flood.in_sfha,doc,enum,"[""yes"", ""no"", ""unknown""]",In a Special Flood Hazard Area (requires flood ins).,AI,"IH-5, IH-6",Deterministic-once-tagged,enum: yes | no | unknown
flood.policy_adequate,doc,enum,"[""yes"", ""no"", ""n/a"", ""unknown""]","If SFHA, is flood policy present & adequate.",AI,IH-6,AI-at-rule-time,enum: yes | no | n/a | unknown
contract.sales_price,doc,number,,Contract price.,parsed,PC-2,Deterministic-once-tagged,number
contract.seller_credit,doc,number,,Seller/interested-party credit amount.,AI,PC-4,Deterministic-once-tagged,number | unknown
contract.emd_amount,doc,number,,Earnest money amount.,parsed,"PC-5, AS-2",Deterministic-once-tagged,number
contract.emd_sourced,doc,enum,"[""yes"", ""no"", ""unknown""]",EMD traced to a verified account debit.,AI,"PC-5, AS-2",AI-at-rule-time,enum: yes | no | unknown
contract.closing_date,doc,date,,Contract closing date.,parsed,"PC-7, CL-1",Deterministic-once-tagged,date
contract.addenda_signed,doc,enum,"[""yes"", ""no"", ""unknown""]",Addenda present & signed.,AI,PC-6,AI-at-rule-time,enum: yes | no | unknown
contract.personal_property,doc,enum,"[""yes"", ""no + list""]",Personal property included that may inflate value.,AI,PC-8,AI-at-rule-time,enum: yes | no + list
contract.contingency_dates,doc,list,,Financing/appraisal contingency dates.,parsed,PC-9,Deterministic-once-tagged,list | null
contract.arms_length,doc,enum,"[""yes"", ""no"", ""unknown""]",Arm's-length vs related-party/flip.,AI,"FR-2, PC-1",AI-at-rule-time,enum: yes | no | unknown
mi.required,loan,enum,"[""yes"", ""no""]",Is MI required (LTV>80 conv).,derived,"MI-1, MI-3",Deterministic-once-tagged,enum: yes | no
mi.factor,doc,number,,MI factor from certificate.,parsed,MI-2,Deterministic-once-tagged,number | unknown
mi.certificate_present,doc,enum,"[""yes"", ""no""]",MI certificate present when required.,AI,MI-3,Deterministic-once-tagged,enum: yes | no
mi.structure,loan,enum,"[""bpmi"", ""lpmi"", ""unknown""]",Borrower- vs lender-paid MI.,AI,MI-5,Deterministic-once-tagged,enum: bpmi | lpmi | unknown
program.type,loan,enum,"[""conventional"", ""fha"", ""va"", ""usda"", ""jumbo"", ""unknown""]",Loan program.,parsed,PE-1..5,Deterministic-once-tagged,enum: conventional | fha | va | usda | jumbo | unknown
program.conforming_limit,loan,number,,"Applicable conforming/high-balance limit (SPEC data, Priya-validated).",spec,PE-1,Deterministic-once-tagged,number (from spec)
program.fha_case_number,doc,string,,FHA case number present.,parsed,PE-2,Deterministic-once-tagged,string | null
program.fha_min_investment_met,loan,enum,"[""yes"", ""no"", ""unknown""]",3.5% minimum investment met.,derived,PE-3,Deterministic-once-tagged,enum: yes | no | unknown
aus.recommendation,doc,enum,"[""approve_eligible"", ""approve_ineligible"", ""refer"", ""out_of_scope"", ""unknown""]",AUS/DU recommendation.,parsed,AU-3,Deterministic-once-tagged,enum: approve_eligible | approve_ineligible | refer | out_of_scope | unknown
aus.data_matches_docs,doc,enum,"[""yes"", ""no + diffs""]",AUS inputs match documented values.,AI,AU-1,AI-at-rule-time,enum: yes | no + diffs
aus.conditions,doc,list,,AUS required conditions parsed.,AI,AU-2,AI-at-rule-time,list
aus.rerun_needed,loan,enum,"[""yes"", ""no""]",Data changed materially since last AUS run.,derived,AU-4,Deterministic-once-tagged,enum: yes | no
rate_lock.expiration,doc,date,,Rate lock expiration vs closing.,parsed,CL-1,Deterministic-once-tagged,date | unknown
fraud.altered_appearance,doc,enum,"[""yes"", ""no"", ""unknown""]",Document shows alteration/formatting anomalies.,AI,FR-1,AI-at-rule-time,enum: yes | no | unknown
fraud.novel_discrepancy,loan,list,,Open-ended cross-source discrepancies (the discovery lane).,AI,FR-6,AI-at-rule-time,list
loe.required_conditions,loan,list,,"Conditions that require an LOE (inquiry, gap, large deposit, etc.).",AI,LO-1,AI-at-rule-time,list
loe.present_and_complete,doc,enum,"[""yes"", ""no"", ""partial""]","LOE present, explains, dated, signed.",AI,"LO-1, LO-2",AI-at-rule-time,enum: yes | no | partial
asset.liquidation_terms,asset,enum,"[""fully_liquid"", ""vested_usable"", ""restricted"", ""unknown""]","Retirement/stock: what portion is usable, terms/penalties. AI reads plan/statement.",AI,AS-11,Hybrid,enum: fully_liquid | vested_usable | restricted | unknown
asset.usable_value,asset,number,,Usable value after vesting/discount haircut (for reserves).,AI,"AS-11, AS-4",Hybrid,number | unknown
credit.inquiry_dates,borrower,list[date],,Credit inquiries on the report (for LOE matching).,AI,CR-5,AI-at-rule-time,list[date]
credit.inquiry_explained,borrower,enum,"[""yes"", ""no"", ""unknown""]",Each inquiry matched to a new tradeline OR an LOE.,AI,CR-5,AI-at-rule-time,enum: yes | no | unknown
credit.report_date,doc,date,,Credit report pull date (validity at closing).,parsed,CR-13,Deterministic-once-tagged,date | unknown
condo.reserve_pct,doc,number,,HOA budget reserve % (>=10% requirement). AI parses budget.,AI,CO-4,Hybrid,number | unknown
contract.unusual_credits,doc,enum,"[""yes"", ""no + detail""]",Seller credits beyond norms / side agreements.,AI,FR-3,AI-at-rule-time,enum: yes | no + detail
id.marital_status,borrower,enum,"[""married"", ""unmarried"", ""separated"", ""unknown""]",Stated marital status (title/vesting consistency).,parsed,ID-7,Deterministic-once-tagged,enum: married | unmarried | separated | unknown
id.title_vesting_consistent,doc,enum,"[""yes"", ""no"", ""unknown""]",Marital status consistent with title vesting.,AI,ID-7,AI-at-rule-time,enum: yes | no | unknown
ins.condo_master_policy,doc,enum,"[""present_adequate"", ""present_inadequate"", ""absent"", ""n/a"", ""unknown""]","Condo master policy adequacy (presence, replacement-cost basis, general liability limit). Fidelity/crime (B7-4-02) is deliberately NOT evaluated — its unit-count input never resolves.",derived,IH-7,Deterministic,enum: present_adequate | present_inadequate | absent | n/a | unknown
ins.wind_hail_required,doc,enum,"[""yes"", ""no"", ""unknown""]",Wind/hail coverage applicability (coastal/state).,AI,IH-8,AI-at-rule-time,enum: yes | no | unknown
income.voe_present,income,enum,"[""yes"", ""no""]",Written/verbal VOE document present.,AI,IN-8,Deterministic-once-tagged,enum: yes | no
income.future_employment,income,enum,"[""yes"", ""no"", ""unknown""]",Future/offer-letter income with start date.,AI,IN-9,Deterministic-once-tagged,enum: yes | no | unknown
income.offer_letter_present,income,enum,"[""yes"", ""no"", ""n/a""]",Offer letter present + start date for future employment.,AI,IN-9,Deterministic-once-tagged,enum: yes | no | n/a
mi.fha_ufmip,loan,number,,FHA upfront MIP (financed).,derived,MI-4,Deterministic-once-tagged,number | unknown
mi.fha_monthly_mip,loan,number,,FHA monthly MIP at the program factor.,derived,MI-4,Deterministic-once-tagged,number | unknown
occupancy.rental_support,loan,enum,"[""adequate"", ""inadequate"", ""n/a"", ""unknown""]",Rental support docs for investment occupancy.,AI,OC-3,AI-at-rule-time,enum: adequate | inadequate | n/a | unknown
property.address_normalized_match,property,enum,"[""yes"", ""no"", ""unknown""]",Subject address consistent across MISMO/contract/tax/appraisal (tolerant).,AI,"PC-3, PR-7",AI-at-rule-time,enum: yes | no | unknown
property.fha_condition_ok,doc,enum,"[""yes"", ""no"", ""unknown""]",FHA property-condition callouts satisfied.,AI,PE-4,AI-at-rule-time,enum: yes | no | unknown
calc.dti,loan,object,,"Back-end DTI. breakdown = [{label, value, source(stated|extracted|computed|manual), from_tag}] so code sees HOW it was built + traces each line to its tag.",derived,"DT-1, DT-2, DT-3, DT-5, DT-6",Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.ltv,loan,object,,"LTV. breakdown lines: loan_amount, purchase_price, appraised_value, value_basis — each with source + from_tag.",derived,"PR-1, MI-1",Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.cltv_hcltv,loan,object,,CLTV/HCLTV. breakdown includes HELOC credit-limit line (from_tag liab.heloc_credit_limit).,derived,"PR-1, CR-2",Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.mi,loan,object,,"MI premium. breakdown: base_loan, factor(from_tag mi.factor), monthly_premium.",derived,"MI-1, MI-2",Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.reserves,loan,object,,"Reserves in months PITIA. breakdown: eligible_assets(from_tag asset.usable_value), monthly_pitia, months.",derived,AS-4,Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.cash_to_close,loan,object,,"Cash to close. breakdown: down_payment, closing_costs, credits, required_reserves, available_funds, shortfall.",derived,AS-3,Deterministic-once-tagged,"object: {value, breakdown[]}"
calc.line.from_tag,calc-line,tag-reference,,EACH breakdown line carries from_tag = the tag id that produced its value (or 'spec'/'note-derived'). Makes every calc line traceable to a fact-tag with its confidence.,derived,all calc rules,Deterministic-once-tagged,tag-reference
calc.line.source,calc-line,enum,"[""stated"", ""extracted"", ""computed"", ""manual""]",Provenance of each breakdown line (carried from the existing calculators).,derived,all calc rules,Deterministic-once-tagged,enum: stated | extracted | computed | manual
