rule_id,name,category,kind,evaluation_path,numeric_check,exact_match,priya_validated,threshold_needs_signoff,rationale
MI-1,PMI required (Conv >80% LTV),MI,calculative,deterministic_bookend,true,,false,true,LTV>80 test + PMI present — arithmetic-gated presence.
MI-2,MI factor correct,MI,calculative,deterministic_bookend,true,,false,false,MI factor used vs certificate — numeric compare.
MI-3,MI certificate present,MI,structural,deterministic_only,false,true,false,false,MI required → certificate present — presence.
MI-4,FHA MIP (upfront + monthly),MI,calculative,deterministic_bookend,true,,false,true,UFMIP financed + monthly MIP at factor — arithmetic.
MI-5,Borrower-paid vs lender-paid MI,MI,structural,deterministic_only,false,true,false,false,MI structure used vs certificate/pricing — match.
PE-1,Conventional eligibility,Program,calculative,deterministic_bookend+ai,true,,false,true,Eligibility matrix incl. CONFORMING LIMIT check (the jumbo catch) — reference values in spec; AI assembles.
PE-2,FHA case number,Program,structural,deterministic_only,false,true,false,false,FHA → case number present — presence.
PE-3,FHA minimum required investment,Program,calculative,deterministic_bookend,true,,false,true,borrower investment vs 3.5% of price — arithmetic.
PE-4,FHA property condition,Program,judgmental,ai_judgment,false,,false,false,FHA condition callouts — interpretive.
PE-5,VA / USDA / Jumbo / Non-QM,Program,out_of_scope,static_filter,false,,false,false,Out of scope (Conv+FHA only).
AU-1,AUS data matches documents,AUS,structural,ai_fuzzy_match,false,false,false,false,AUS inputs vs documented values — compare; material-diff judgment → AI.
AU-2,AUS required conditions collected,AUS,structural,ai_fuzzy_match,false,false,false,false,"Parse AUS conditions, reconcile vs collected — match."
AU-3,AUS recommendation status,AUS,structural,deterministic_only,false,true,false,false,Extract + surface recommendation — presence/extract.
AU-4,AUS rerun needed,AUS,structural,deterministic_only,false,true,false,false,Compare current data vs last-run values — change detect.
DC-1,Loan Estimate timely,Compliance,out_of_scope,static_filter,false,,false,false,"TRID timing — likely LOS function, confirm scope."
DC-2,Intent to proceed,Compliance,out_of_scope,static_filter,false,,false,false,Compliance record — LOS.
DC-3,Closing Disclosure 3-day timing,Compliance,out_of_scope,static_filter,false,,false,false,TRID timing — LOS.
DC-4,Fee tolerance (0%/10%),Compliance,out_of_scope,static_filter,false,,false,false,LE→CD fee buckets — LOS.
DC-5,APR change threshold,Compliance,out_of_scope,static_filter,false,,false,false,APR tolerance — LOS.
DC-6,Appraisal delivery (ECOA),Compliance,out_of_scope,static_filter,false,,false,false,Delivery timing — LOS.
DC-7,Changed-circumstance validity,Compliance,out_of_scope,static_filter,false,,false,false,Revised-LE justification — LOS.
RE-1,REO reconciliation,REO,structural,ai_fuzzy_match,false,false,false,false,Cross-ref owned properties across sources — tolerant match; undisclosed-REO reasoning → AI.
RE-2,Retained-property tax & insurance,REO,structural,deterministic_only,false,true,false,false,Retained property → tax/insurance docs present — presence.
CL-1,Rate lock expiration,Closing,structural,deterministic_only,false,true,false,false,lock expiration vs closing — date compare.
CL-2,Clear-to-close conditions,Closing,out_of_scope,static_filter,false,,false,false,Out of pre-submission scope.
CL-3,Final CD accuracy,Closing,out_of_scope,static_filter,false,,false,false,Out of scope.
CL-4,Final VOE,Closing,out_of_scope,static_filter,false,,false,false,Out of scope.
CL-5,Final credit refresh,Closing,out_of_scope,static_filter,false,,false,false,Out of scope.
CL-6,Signed docs / notarization / recording,Closing,out_of_scope,static_filter,false,,false,false,Out of scope.
CL-7,Right of rescission (refi),Closing,out_of_scope,static_filter,false,,false,false,Out of scope; refi-only.
FR-1,Altered-document appearance,Fraud,judgmental,ai_judgment,false,,false,false,Formatting/consistency anomalies — interpretive.
FR-2,Non-arm's-length / flip,Fraud,judgmental,ai_judgment,false,,false,false,Related-party/rapid-transfer signals — judgment.
FR-3,Unusual seller credits / side agreements,Fraud,judgmental,ai_judgment,false,,false,false,Credits beyond norms / side deals — judgment.
FR-4,Garnishment on paystub,Fraud,judgmental,ai_judgment,false,,false,false,Deduction implies obligation — interpretive.
FR-5,Recurring undisclosed debit,Fraud,judgmental,ai_judgment,false,,false,false,Recurring debit resembling loan payment — judgment.
FR-6,Novel cross-source discrepancy,Fraud,judgmental,ai_judgment,false,,false,false,Open-ended cross-source discovery — THE discovery lane.
LO-1,LOE required-and-present,LOE,structural,ai_fuzzy_match,false,false,false,false,Each LOE-triggering condition → matching LOE present — presence/match.
LO-2,LOE completeness,LOE,structural,ai_fuzzy_match,false,false,false,false,Explanation+date+amount (DET); signature (AI for scans).
